date,sp500,MoM_Return
2016-01-01,1918.597895,-0.083
2016-02-01,1904.4185,-0.007
2016-03-01,2021.954091,0.062
2016-04-01,2075.535238,0.026
2016-05-01,2065.550952,-0.005
2016-06-01,2083.891364,0.009
2016-07-01,2148.902,0.031
2016-08-01,2177.482174,0.013
2016-09-01,2157.690952,-0.009
2016-10-01,2143.020952,-0.007
2016-11-01,2164.985714,0.010
2016-12-01,2246.629048,0.038
2017-01-01,2275.116,0.013
2017-02-01,2329.910526,0.024
2017-03-01,2366.822174,0.016
2017-04-01,2359.309474,-0.003
2017-05-01,2395.345909,0.015
2017-06-01,2433.985455,0.016
2017-07-01,2454.1025,0.008
2017-08-01,2456.223043,0.001
2017-09-01,2492.841,0.015
2017-10-01,2556.997273,0.026
2017-11-01,2593.605714,0.014
2017-12-01,2664.3405,0.027
2018-01-01,2789.80381,0.047
2018-02-01,2705.155263,-0.030
2018-03-01,2702.77381,-0.001
2018-04-01,2653.625238,-0.018
2018-05-01,2701.493636,0.018
2018-06-01,2754.352857,0.020
2018-07-01,2793.643333,0.014
2018-08-01,2857.820435,0.023
2018-09-01,2901.500526,0.015
2018-10-01,2785.464783,-0.040
2018-11-01,2723.229524,-0.022
2018-12-01,2567.307368,-0.057
2019-01-01,2607.39,0.016
2019-02-01,2754.864211,0.057
2019-03-01,2803.98381,0.018
2019-04-01,2903.8,0.036
2019-05-01,2854.705909,-0.017
2019-06-01,2890.166,0.012
2019-07-01,2996.113636,0.037
2019-08-01,2897.498182,-0.033
2019-09-01,2982.156,0.029
2019-10-01,3037.56,0.019
